name;align;eye;hair;sex;appearances;first_appearance
Red Hulk (Thaddeus Ross);Нейтральный персонаж;Голубые глаза;Черные волосы;Мужской персонаж;415;1962
Jubilation Lee (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;408;1989
Volstagg (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;406;1965
Balder Odinson (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;403;1962
Galactus (Earth-616);Нейтральный персонаж;Темно-карие глаза;Без волос;Мужской персонаж;390;1966
Danielle Moonstar (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;388;1982
Marc Spector (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;387;1975
Gwendolyne Stacy (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;384;1965
Medusalith Amaquelin (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;382;1965
Sabretooth (Victor Creed);Злой персонаж;Янтарные глаза;Русые волосы;Мужской персонаж;382;1977
Illyana Rasputina (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Женский персонаж;380;1975
Johann Shmidt (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Мужской персонаж;376;1941
Fandral (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;375;1965
Sean Cassidy (Earth-616);Нейтральный персонаж;Зеленые глаза;Светло-розовые волосы;Мужской персонаж;374;1967
Thomas Raymond (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;373;1940
Uatu (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;373;1963
Richard Rider (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;373;1976
Hogun (Earth-616);Добрый персонаж;Серые глаза;Черные волосы;Мужской персонаж;371;1965
Raven Darkholme (Earth-616);Злой персонаж;Желтые глаза;;Женский персонаж;371;1978
Barbara Morse (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;368;1971
Blackagar Boltagon (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;366;1965
Brunnhilde (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;361;1970
Alison Blaire (Earth-616);Добрый персонаж;Голубые глаза;Светло-розовые волосы;Женский персонаж;353;1980
Venom (Symbiote) (Earth-616);Нейтральный персонаж;Разноцветные глаза;Без волос;Безполый персонаж;348;1984
John Walker (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;346;1986
Greer Grant (Earth-616);Добрый персонаж;Зеленые глаза;Черные волосы;Женский персонаж;342;1972
Karla Sofen (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Женский персонаж;340;1975
William Baker (Earth-616);Нейтральный персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;338;1963
Sharon Carter (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;332;1966
Felicia Hardy (Earth-616);Злой персонаж;;Русые волосы;Женский персонаж;332;1979
Cain Marko (Earth-616);Нейтральный персонаж;Голубые глаза;;Мужской персонаж;329;1965
Monica Rambeau (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;327;
Maria Hill (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;325;2005
Ben Urich (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;324;1978
Heather Douglas (Earth-616);Добрый персонаж;Голубые глаза;;Женский персонаж;323;1973
Millicent Collins (Earth-616);;Голубые глаза;Русые волосы;Женский персонаж;321;1945
James Proudstar (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;320;1984
Angelica Jones (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;319;1985
Edward Brock (Earth-616);Нейтральный персонаж;Черные глаза;Русые волосы;Мужской персонаж;318;1986
MacDonald Gargan (Earth-616);Злой персонаж;Темно-карие глаза;;Мужской персонаж;317;1964
Mephisto (Earth-616);Злой персонаж;Белые глаза;Черные волосы;Мужской персонаж;316;1968
Tabitha Smith (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;316;1985
Jean-Paul Beaubier (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;313;1979
Daniel Ketch (Earth-616);Нейтральный персонаж;Зеленые глаза;Каштановые волосы;Мужской персонаж;311;1990
Neena Thurman (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Женский персонаж;310;1992
Wong (Earth-616);Добрый персонаж;Темно-карие глаза;;Мужской персонаж;306;1963
Thanos (Earth-616);Злой персонаж;Красные глаза;Без волос;Мужской персонаж;306;1973
Shang-Chi (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;296;1973
Alicia Masters (Earth-616);Добрый персонаж;Темно-карие глаза;Светло-розовые волосы;Женский персонаж;293;1962
Robert Baldwin (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;293;1988
Vance Astrovik (Earth-616);Добрый персонаж;Карие глаза;Каштановые волосы;Мужской персонаж;290;1975
Wendell Vaughn (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;290;1978
Chili Storm (Earth-616);;Зеленые глаза;;Женский персонаж;284;1948
Abner Jenkins (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;284;1964
Elektra Natchios (Earth-616);Нейтральный персонаж;Голубые глаза;Черные волосы;Женский персонаж;280;1981
Bullseye (Lester) (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Мужской персонаж;277;1976
Forge (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;276;1984
Virginia Potts (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;274;1963
Walter Langkowski (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;273;1979
Gorgon (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;272;1965
James Madrox (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;271;1975
Heimdall (Earth-616);Добрый персонаж;Серые глаза;Каштановые волосы;Мужской персонаж;270;1962
Theresa Cassidy (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;267;1981
Laura Kinney (Earth-616);Добрый персонаж;Зеленые глаза;Черные волосы;Женский персонаж;265;2004
Arthur Douglas (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;264;1973
Peter Parker (Ben Reilly) (Earth-616);Добрый персонаж;Карие глаза;Русые волосы;Мужской персонаж;263;1975
Warlock (Technarch) (Earth-616);Добрый персонаж;Черные глаза;Без волос;Мужской персонаж;261;1984
Kevin Plunder (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;260;1965
Leonard Samson (Earth-616);Добрый персонаж;Темно-карие глаза;Зеленые волосы;Мужской персонаж;260;1971
Melissa Gold (Earth-616);Добрый персонаж;Зеленые глаза;Русые волосы;Женский персонаж;260;1979
Lockheed (Earth-616);Добрый персонаж;;Без волос;Мужской персонаж;260;1983
Mercedes Knight (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;259;1972
Moira Kinross (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Женский персонаж;259;1975
Karnak (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;257;1965
Namorita Prentiss (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;257;1972
Lockjaw (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;255;1965
Adam Warlock (Earth-616);Добрый персонаж;Белые глаза;Золотые волосы;Мужской персонаж;252;1967
Heather McNeil (Earth-616);Нейтральный персонаж;Зеленые глаза;;Женский персонаж;252;1980
Curtis Connors (Earth-616);Нейтральный персонаж;Красные глаза;Без волос;Мужской персонаж;250;1963
Theodore Sallis (Earth-616);Добрый персонаж;Красные глаза;Без волос;Мужской персонаж;249;1971
Adrian Toomes (Earth-616);Злой персонаж;Карие глаза;;Мужской персонаж;248;1963
Amora (Earth-616);Злой персонаж;Зеленые глаза;Русые волосы;Женский персонаж;247;1964
Clea (Earth-616);Добрый персонаж;Голубые глаза;Белые волосы;Женский персонаж;247;1964
Mar-Vell (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;245;1967
Eugene Judd (Earth-616);Добрый персонаж;Темно-карие глаза;;Мужской персонаж;245;1983
Daimon Hellstrom (Earth-616);Нейтральный персонаж;Красные глаза;;Мужской персонаж;242;1973
John Jonah Jameson III (Earth-616);Добрый персонаж;Темно-карие глаза;;Мужской персонаж;240;1963
Triton (Earth-616);Добрый персонаж;Зеленые глаза;Без волос;Мужской персонаж;240;1965
Meggan Puceanu (Earth-616);Добрый персонаж;;;Женский персонаж;240;1983
Robert Reynolds (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Мужской персонаж;240;2000
Aleksei Sytsevich (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;239;1966
Santo Vaccarro (Earth-616);Добрый персонаж;Белые глаза;Без волос;Мужской персонаж;238;2003
Jonathan Clay (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;237;1960
Ares (Earth-616);Нейтральный персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;236;1949
Sersi (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Женский персонаж;236;1976
Guido Carosella (Earth-616);Нейтральный персонаж;Темно-карие глаза;;Мужской персонаж;236;1985
Zabu (Earth-616);Добрый персонаж;Зеленые глаза;Оранжевые волосы;Мужской персонаж;234;1965
Michael Morbius (Earth-616);Нейтральный персонаж;Красные глаза;Черные волосы;Мужской персонаж;231;1971
Julio Richter (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;231;1987
Phoenix Force (Earth-616);Нейтральный персонаж;;Без волос;;229;1976
Megan Gwynn (Earth-616);Добрый персонаж;Черные глазные яблоки;Розовые волосы;Женский персонаж;229;2004
Kyle Richmond (Earth-616);Добрый персонаж;Темно-карие глаза;;Мужской персонаж;227;1969
Karen Page (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;226;1964
Tyrone Johnson (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;226;1982
Maxwell Dillon (Earth-616);Злой персонаж;Голубые глаза;;Мужской персонаж;225;1964
Valerie Cooper (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;225;1983
Anna May (Earth-616);Добрый персонаж;Голубые глаза;Белые волосы;Женский персонаж;224;1964
Vlad Dracula (Earth-616);Злой персонаж;Красные глаза;Белые волосы;Мужской персонаж;223;1951
Tandy Bowen (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;222;1982
Monet St. Croix (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;221;1994
Gamora (Earth-616);Нейтральный персонаж;Желтые глаза;Черные волосы;Женский персонаж;218;1975
Amara Aquilla (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;217;1983
Julia Carpenter (Earth-616);Добрый персонаж;Голубые глаза;Светло-розовые волосы;Женский персонаж;212;1984
Jane Foster (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Женский персонаж;211;1962
Mortimer Toynbee (Earth-616);Нейтральный персонаж;Черные глаза;Каштановые волосы;Мужской персонаж;210;1964
Scott Lang (Earth-616);Добрый персонаж;Голубые глаза;Светло-розовые волосы;Мужской персонаж;209;1979
Paige Guthrie (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;207;1984
Benjamin Parker (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;205;1962
Erik Josten (Earth-616);Добрый персонаж;Темно-карие глаза;;Мужской персонаж;204;1965
Jeanne-Marie Beaubier (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Женский персонаж;203;1979
Carl Creel (Earth-616);Злой персонаж;Голубые глаза;;Мужской персонаж;202;1964
Gloria Grant (Earth-616);;Темно-карие глаза;Черные волосы;Женский персонаж;202;1975
Michael Twoyoungmen (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;200;1979
Hope Summers (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;200;2008
Eric Masterson (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;198;1988
Alexander Power (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;197;1984
Matthew Hawk (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;195;1962
Jessica Jones (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Женский персонаж;195;1963
Frederick Dukes (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;194;1964
Eric Brooks (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;194;1973
Eros (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;193;1973
Madison Jeffries (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;193;1983
Mandarin (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Мужской персонаж;190;1964
The Wizard (Earth-616);Злой персонаж;Карие глаза;Каштановые волосы;Мужской персонаж;189;1962
Akihiro (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Мужской персонаж;189;2006
Sergei Kravinoff (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;188;1964
Jonothon Starsmore (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;187;1994
Helmut Zemo (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Мужской персонаж;184;1973
Victor Borkowski (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;184;2003
Edward Leeds (Earth-616);Нейтральный персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;181;1964
Ultron (Earth-616);Злой персонаж;Красные глаза;Без волос;Мужской персонаж;181;1968
Douglas Ramsey (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;181;1984
Quentin Beck (Earth-616);Злой персонаж;Голубые глаза;;Мужской персонаж;180;1964
Herbert Wyndham (Earth-616);Нейтральный персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;179;1966
Julian Keller (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;179;2003
Jack Russell (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;178;1972
Celeste Cuckoo (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;177;2001
Valentina Allegra de Fontaine (Earth-616);Нейтральный персонаж;Голубые глаза;Черные волосы;Женский персонаж;176;1967
Ophelia Sarkissian (Earth-616);Злой персонаж;Зеленые глаза;Черные волосы;Женский персонаж;175;1969
Colleen Wing (Earth-616);Добрый персонаж;Голубые глаза;;Женский персонаж;175;1974
Irma Cuckoo (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Женский персонаж;175;2001
Sebastian Shaw (Earth-616);Нейтральный персонаж;Голубые глаза;Черные волосы;Мужской персонаж;174;1980
Phoebe Cuckoo (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;174;2001
Sage (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Женский персонаж;172;1980
Valeria Richards (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;171;2002
Donald Blake (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;170;1962
Hela (Earth-616);Злой персонаж;Зеленые глаза;Черные волосы;Женский персонаж;170;1964
Lilandra Neramani (Earth-616);Добрый персонаж;Оранжевые глаза;Черные волосы;Женский персонаж;170;1976
Henry Gyrich (Earth-616);Злой персонаж;Зеленые глаза;;Мужской персонаж;170;1977
Dwayne Taylor (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;169;1989
Harold Hogan (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;166;1963
Redwing (Earth-616);;Желтые глаза;;Мужской персонаж;165;1969
Christopher Powell (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;165;1991
Harvey Elder (Earth-616);Злой персонаж;Темно-карие глаза;;Мужской персонаж;164;1961
Wolfgang von Strucker (Earth-616);Злой персонаж;Голубые глаза;;Мужской персонаж;164;1964
Dirk Garthwaite (Earth-616);Злой персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;164;1968
Pip Gofern (Earth-616);Добрый персонаж;Зеленые глаза;;Мужской персонаж;163;1975
Tony Masters (Earth-616);Нейтральный персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;163;1980
David Lieberman (Earth-616);Нейтральный персонаж;Зеленые глаза;Каштановые волосы;Мужской персонаж;163;1987
James Hudson (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;161;1978
Miles Warren (Earth-616);Злой персонаж;Зеленые глаза;Без волос;Мужской персонаж;160;1965
Kallark (Earth-616);Нейтральный персонаж;Голубые глаза;;Мужской персонаж;160;1977
En Sabah Nur (Earth-616);Злой персонаж;Красные глаза;Черные волосы;Мужской персонаж;160;1986
Shiro Yoshida (Earth-616);Добрый персонаж;Черные глаза;Черные волосы;Мужской персонаж;158;1970
Silver Sablinova (Earth-616);Добрый персонаж;Голубые глаза;Серебристые волосы;Женский персонаж;158;1985
Elvin Haliday (Earth-616);Добрый персонаж;Темно-карие глаза;;Мужской персонаж;158;1990
James Bradley (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;158;
Calvin Zabo (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;157;1963
Frederick Myers (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;157;1966
Mantis (Earth-616);Добрый персонаж;Зеленые глаза;Черные волосы;Женский персонаж;156;1973
Marlene Alraune (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;156;1976
Rachel Leighton (Earth-616);Добрый персонаж;Зеленые глаза;Каштановые волосы;Женский персонаж;156;1985
Veranke (Earth-616);Злой персонаж;Зеленые глаза;Зеленые волосы;Женский персонаж;156;2005
Nathaniel Essex (Earth-616);Злой персонаж;Красные глаза;Черные волосы;Мужской персонаж;155;1987
Anthony Druid (Earth-616);Добрый персонаж;Зеленые глаза;Черные волосы;Мужской персонаж;153;1961
Cassandra Lang (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;153;1979
