respondentID;seen;fan;gender;age_group;income;loc;yoda;princess_leia_organa
3291032418;да;нет;Ж;45-60;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3291029281;нет;;Ж;18-29;;Средне-Атлантический;;
3291028446;да;да;М;30-44;25.000 - 49.999;Южно-Атлантический;очень нравится;нравится
3291024297;да;да;М;> 60;0 - 24.999;Средне-Атлантический;очень нравится;очень нравится
3291023456;да;да;Ж;18-29;50.000 - 99.999;Юго-Западный центральный;очень нравится;нравится
3291022655;да;да;Ж;> 60;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3291022275;нет;;М;45-60;0 - 24.999;Северо-Восточный центральный;;
3291022013;да;;;;;;;
3291019033;да;да;Ж;30-44;50.000 - 99.999;Юго-Западный центральный;очень нравится;очень нравится
3291018581;нет;;Ж;45-60;;Северо-Восточный центральный;;
3291015347;нет;;Ж;> 60;0 - 24.999;Северо-Западный центральный;;
3291014757;да;да;Ж;> 60;100.000 - 149.999;Горный;очень нравится;очень нравится
3291009055;нет;;Ж;> 60;50.000 - 99.999;Северо-Восточный центральный;;
3291007877;да;да;М;45-60;100.000 - 149.999;Средне-Атлантический;очень нравится;очень нравится
3291006540;да;;;;;;;
3291002672;да;нет;М;45-60;150.000+;Северо-Восточный центральный;очень нравится;очень нравится
3291001879;нет;;Ж;18-29;50.000 - 99.999;Юго-Западный центральный;;
3290999912;да;нет;Ж;45-60;0 - 24.999;Юго-Западный центральный;очень нравится;очень нравится
3290998457;нет;;Ж;30-44;100.000 - 149.999;Северо-Восточный центральный;;
3290996933;да;да;М;18-29;50.000 - 99.999;Тихоокеанский;очень нравится;очень нравится
3290994001;да;нет;М;18-29;0 - 24.999;Средне-Атлантический;нравится;очень нравится
3290992477;да;да;Ж;18-29;25.000 - 49.999;Северо-Восточный центральный;очень нравится;нравится
3290992371;нет;;М;30-44;25.000 - 49.999;Юго-Западный центральный;;
3290987996;да;да;М;30-44;0 - 24.999;Горный;очень нравится;очень нравится
3290984063;да;нет;М;45-60;;Южно-Атлантический;;нравится
3290980789;да;;;;;;;
3290977827;да;нет;М;18-29;;Тихоокеанский;очень нравится;
3290976539;да;;;;;;;
3290975724;да;да;М;> 60;50.000 - 99.999;Горный;очень нравится;нравится
3290973695;да;да;Ж;18-29;;Средне-Атлантический;очень нравится;очень нравится
3290973177;нет;;Ж;30-44;25.000 - 49.999;Южно-Атлантический;;
3290973120;нет;;Ж;30-44;;Северо-Восточный центральный;;
3290972257;да;да;М;30-44;100.000 - 149.999;Тихоокеанский;очень нравится;очень нравится
3290971794;да;да;Ж;45-60;;Юго-Восточный центральный;очень нравится;очень нравится
3290971358;да;да;Ж;30-44;50.000 - 99.999;Тихоокеанский;очень нравится;нравится
3290965482;нет;;Ж;18-29;;Средне-Атлантический;;
3290961855;нет;;Ж;30-44;25.000 - 49.999;Северо-Восточный центральный;;
3290961497;да;да;М;18-29;50.000 - 99.999;Северо-Восточный центральный;очень нравится;нравится
3290953060;нет;;Ж;> 60;50.000 - 99.999;Северо-Западный центральный;;
3290949606;да;;;;;;;
3290948002;да;нет;Ж;> 60;0 - 24.999;Южно-Атлантический;очень нравится;очень нравится
3290947136;да;нет;Ж;45-60;25.000 - 49.999;Северо-Западный центральный;очень нравится;очень нравится
3290947011;да;нет;М;18-29;100.000 - 149.999;Средне-Атлантический;нравится;нравится
3290946211;нет;;М;30-44;;Северо-Восточный центральный;;
3290944858;да;да;М;30-44;100.000 - 149.999;Тихоокеанский;очень нравится;очень нравится
3290944288;да;да;М;45-60;;Северо-Западный центральный;очень нравится;нравится
3290941824;да;да;;;;;очень нравится;нравится
3290939696;да;;;;;;;
3290934328;да;нет;М;45-60;50.000 - 99.999;Северо-Восточный центральный;нравится;очень нравится
3290929229;да;да;М;30-44;50.000 - 99.999;Тихоокеанский;отношусь нейтрально;очень нравится
3290927126;нет;;М;45-60;;Юго-Западный центральный;;
3290926407;нет;;М;> 60;50.000 - 99.999;Юго-Западный центральный;;
3290922858;да;нет;М;> 60;50.000 - 99.999;Средне-Атлантический;очень нравится;нравится
3290920752;да;нет;Ж;> 60;0 - 24.999;Тихоокеанский;отношусь нейтрально;отношусь нейтрально
3290919823;да;да;Ж;30-44;;Юго-Западный центральный;очень нравится;очень нравится
3290919419;да;да;М;45-60;;Юго-Западный центральный;очень нравится;очень нравится
3290917153;да;да;М;30-44;150.000+;Северо-Восточный центральный;отношусь нейтрально;очень нравится
3290917131;да;да;;;;;очень нравится;очень нравится
3290916554;да;да;Ж;18-29;;Горный;очень нравится;очень нравится
3290915885;да;да;М;45-60;;Тихоокеанский;очень нравится;очень нравится
3290912485;да;;;;;;;
3290912014;да;нет;Ж;45-60;50.000 - 99.999;Северо-Восточный центральный;нравится;очень нравится
3290910069;да;да;М;45-60;;Новая Англия;очень нравится;очень нравится
3290906086;да;да;Ж;45-60;;Северо-Восточный центральный;очень нравится;отношусь нейтрально
3290906022;да;нет;М;45-60;100.000 - 149.999;Горный;нравится;нравится
3290903423;да;нет;Ж;45-60;50.000 - 99.999;Горный;нравится;очень нравится
3290902880;да;да;Ж;45-60;150.000+;Южно-Атлантический;очень нравится;очень нравится
3290901027;да;да;М;45-60;0 - 24.999;Северо-Восточный центральный;нравится;нравится
3290896982;да;;;;;;;
3290893301;нет;;М;> 60;150.000+;Северо-Восточный центральный;;
3290889443;да;нет;Ж;18-29;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3290888715;да;;;;;;;
3290888303;да;да;М;18-29;;Северо-Восточный центральный;очень нравится;нравится
3290888102;да;нет;Ж;45-60;25.000 - 49.999;Горный;очень нравится;нравится
3290888079;да;да;Ж;> 60;;Средне-Атлантический;очень нравится;очень нравится
3290884427;да;да;М;45-60;;Тихоокеанский;очень нравится;очень нравится
3290881566;да;да;Ж;> 60;100.000 - 149.999;Тихоокеанский;очень нравится;очень нравится
3290879019;да;да;Ж;45-60;25.000 - 49.999;Юго-Восточный центральный;очень нравится;очень нравится
3290878766;да;да;М;45-60;150.000+;Южно-Атлантический;очень нравится;очень нравится
3290874545;нет;;М;45-60;;;;
3290873342;да;да;М;30-44;50.000 - 99.999;Средне-Атлантический;нравится;нравится
3290871307;да;да;М;45-60;100.000 - 149.999;Тихоокеанский;очень нравится;очень нравится
3290869696;нет;;Ж;45-60;50.000 - 99.999;Северо-Восточный центральный;;
3290863729;да;да;Ж;18-29;100.000 - 149.999;Северо-Восточный центральный;очень нравится;нравится
3290863193;да;да;М;45-60;;Южно-Атлантический;очень нравится;очень нравится
3290862050;да;;;;;;;
3290860908;да;да;М;45-60;0 - 24.999;Горный;очень нравится;очень нравится
3290860842;да;нет;М;> 60;;Южно-Атлантический;очень нравится;нравится
3290860558;да;да;М;30-44;;Новая Англия;очень нравится;очень нравится
3290858689;да;;;;;;;
3290858543;да;да;М;45-60;150.000+;Новая Англия;очень нравится;очень нравится
3290855818;да;да;М;45-60;;Северо-Восточный центральный;очень нравится;очень нравится
3290854802;да;да;М;30-44;0 - 24.999;Тихоокеанский;очень нравится;нравится
3290853559;да;нет;М;45-60;25.000 - 49.999;Юго-Восточный центральный;отношусь нейтрально;очень нравится
3290853267;да;;;;;;;
3290852271;нет;;Ж;18-29;0 - 24.999;Средне-Атлантический;;
3290848617;да;да;М;45-60;100.000 - 149.999;Юго-Западный центральный;очень нравится;нравится
3290846848;да;да;М;> 60;100.000 - 149.999;Северо-Восточный центральный;очень нравится;очень нравится
3290846769;да;нет;Ж;18-29;;Новая Англия;очень нравится;очень нравится
3290846466;да;да;М;45-60;25.000 - 49.999;Южно-Атлантический;очень нравится;очень нравится
3290845752;да;да;М;30-44;50.000 - 99.999;Горный;очень нравится;нравится
3290845367;да;да;М;30-44;0 - 24.999;Южно-Атлантический;очень нравится;очень нравится
3290845046;да;да;Ж;> 60;25.000 - 49.999;Северо-Западный центральный;очень нравится;очень нравится
3290844577;нет;;Ж;18-29;50.000 - 99.999;Средне-Атлантический;;
3290841815;да;нет;Ж;30-44;50.000 - 99.999;Юго-Восточный центральный;очень нравится;очень нравится
3290840905;нет;;Ж;45-60;100.000 - 149.999;Северо-Восточный центральный;;
3290836653;да;нет;Ж;18-29;50.000 - 99.999;Юго-Западный центральный;очень нравится;нравится
3290834007;да;нет;;;;;отношусь нейтрально;отношусь нейтрально
3290829888;да;нет;М;45-60;100.000 - 149.999;Южно-Атлантический;отношусь нейтрально;очень нравится
3290828902;нет;;Ж;45-60;;Южно-Атлантический;;
3290824340;нет;;М;45-60;150.000+;Тихоокеанский;;
3290821620;да;нет;Ж;45-60;50.000 - 99.999;Южно-Атлантический;нравится;нравится
3290819415;да;нет;М;30-44;0 - 24.999;Южно-Атлантический;нравится;отношусь нейтрально
3290815080;нет;;Ж;> 60;50.000 - 99.999;Средне-Атлантический;;
3290812610;да;нет;Ж;45-60;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3290810177;да;да;Ж;30-44;50.000 - 99.999;Юго-Восточный центральный;очень нравится;очень нравится
3290810023;да;нет;Ж;18-29;0 - 24.999;Северо-Восточный центральный;очень нравится;не знаю такого персонажа
3290807769;нет;;Ж;18-29;0 - 24.999;Северо-Восточный центральный;;
3290806200;да;да;;;;;очень нравится;очень нравится
3290805125;да;нет;М;45-60;150.000+;Южно-Атлантический;очень нравится;очень нравится
3290804128;да;;;;;;;
3290804008;да;да;М;45-60;;Горный;очень нравится;очень нравится
3290799403;да;нет;М;45-60;0 - 24.999;Средне-Атлантический;очень не нравится;очень не нравится
3290798641;нет;;М;45-60;25.000 - 49.999;Горный;;
3290798064;да;да;М;45-60;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3290796650;да;да;Ж;45-60;;Северо-Западный центральный;очень нравится;очень нравится
3290792507;да;да;М;18-29;25.000 - 49.999;Тихоокеанский;нравится;нравится
3290787286;да;да;Ж;18-29;;Тихоокеанский;очень нравится;очень нравится
3290785928;да;да;М;18-29;0 - 24.999;Тихоокеанский;очень нравится;нравится
3290782952;нет;;М;45-60;25.000 - 49.999;Средне-Атлантический;;
3290781544;да;да;М;30-44;100.000 - 149.999;Северо-Западный центральный;нравится;нравится
3290781284;да;;;;;;;
3290781039;да;да;М;> 60;100.000 - 149.999;Юго-Западный центральный;нравится;нравится
3290779524;да;да;Ж;45-60;25.000 - 49.999;Юго-Западный центральный;очень нравится;очень нравится
3290779140;да;нет;Ж;30-44;50.000 - 99.999;Средне-Атлантический;очень нравится;очень нравится
3290778828;да;нет;Ж;> 60;50.000 - 99.999;Тихоокеанский;нравится;нравится
3290777129;да;;;;;;;
3290773277;да;да;М;30-44;150.000+;Южно-Атлантический;нравится;очень нравится
3290769012;нет;;Ж;45-60;50.000 - 99.999;Юго-Западный центральный;;
3290767951;да;;;;;;;
3290767535;да;нет;М;45-60;150.000+;Северо-Восточный центральный;;очень не нравится
3290765210;нет;;М;45-60;0 - 24.999;Средне-Атлантический;;
3290762924;да;нет;Ж;45-60;50.000 - 99.999;Северо-Западный центральный;не знаю такого персонажа;очень нравится
3290761823;нет;;Ж;> 60;0 - 24.999;Тихоокеанский;;
3290760722;да;да;Ж;45-60;;Северо-Восточный центральный;очень нравится;очень нравится
3290759512;да;да;Ж;> 60;25.000 - 49.999;Юго-Восточный центральный;очень нравится;
3290758362;да;да;М;18-29;;Средне-Атлантический;очень нравится;очень нравится
3290757230;да;нет;Ж;18-29;25.000 - 49.999;Тихоокеанский;отношусь нейтрально;отношусь нейтрально
3290756394;да;да;Ж;45-60;25.000 - 49.999;Средне-Атлантический;очень нравится;очень нравится
3290755451;да;да;Ж;> 60;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3290753390;да;нет;М;45-60;0 - 24.999;Новая Англия;нравится;отношусь нейтрально
3290749764;да;да;М;45-60;150.000+;Средне-Атлантический;очень нравится;нравится
3290749229;да;нет;М;45-60;0 - 24.999;Северо-Восточный центральный;очень нравится;очень нравится
3290746853;да;нет;Ж;45-60;0 - 24.999;Южно-Атлантический;отношусь нейтрально;
3290744027;да;;;;;;;
3290741994;да;да;М;30-44;;Горный;очень нравится;очень нравится
3290741405;да;да;Ж;45-60;100.000 - 149.999;Тихоокеанский;очень нравится;очень нравится
3290740448;да;да;Ж;45-60;150.000+;Горный;очень нравится;очень нравится
3290739967;да;да;Ж;45-60;;Северо-Западный центральный;очень нравится;очень нравится
3290739235;да;нет;Ж;45-60;150.000+;Южно-Атлантический;нравится;нравится
3290738262;нет;;Ж;> 60;25.000 - 49.999;Юго-Восточный центральный;;
3290737104;нет;;М;30-44;0 - 24.999;Северо-Восточный центральный;;
